sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:full_add_eng,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
J07CA020,Di-Te-Ki-Pol,1550428,,,0.23,APPROVED,EQUIVALENT,Tomer Sagi,1731017872093,40075264,phenytoin Oral Capsule [Di-Phen],Drug,MAPS_TO,No brand info,<auto>,1730992728899,
J07BC010,Hepatitis B,48832,,solution for injection; susp. in syringe,0.44,APPROVED,EQUAL,Tomer Sagi,1731324630830,46275244,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],Drug,MAPS_TO,Branded,Tomer Sagi,1731324589856,
J07BC32117338522,Hepatitis A Vaqta,88411,,solution for injection; susp. in syringe,0.81,APPROVED,EQUAL,Tomer Sagi,1731325044895,43264845,0.5 ML Hepatitis A Virus 50 UNT/ML Injection [Vaqta],Drug,MAPS_TO,Branded ,Tomer Sagi,1731325033089,
J07BK0132174062747,Varicella Varizovac,347,,1 * 0.5ml. Adults and children from 9 months. solution for injection; susp. in syringe,0.30,APPROVED,NARROWER,Tomer Sagi,1731935380689,43612081,0.5 ML Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML Injectable Solution,Drug,MAPS_TO,"No brand information for this brand in OMOP, no unspecified Varicella injection. ",Tomer Sagi,1731935373851,
J07BH0232117338538,Rota virus; pentavalent RotaTeq,3513,,oral; susp.,0.42,APPROVED,EQUAL,Tomer Sagi,1731326963274,36282691,"2 ML ROTAVIRUS VACCINE, LIVE 1000000 UNT/ML Oral Solution [RotaTeq]",Drug,MAPS_TO,Baranded,Tomer Sagi,1731326906129,
J07CA02170641,Di-Te-Ki-Pol DiTeKiPol,49182,,,0.20,APPROVED,EQUAL,Tomer Sagi,1731327593890,36281053,"0.5 ML acellular pertussis vaccine, inactivated 0.0936 MG/ML / diphtheria toxoid vaccine, inactivated 60 UNT/ML / Human poliovirus 160 BAU/ML / tetanus toxoid vaccine, inactivated 80 UNT/ML Injectable Suspension [Tetravac]",Drug,MAPS_TO,Branded,Tomer Sagi,1731327553135,
J07BC2032117338526,Hepatitis A and B combinations Ambirix,5,,1 * 1 ml. Children 1-15 years; 2 dose program. solution for injection; susp. in syringe,0.45,APPROVED,EQUIVALENT,Tomer Sagi,1731052323018,36065571,hepatitis A virus / hepatitis B surface antigen vaccine Injection [Ambirix],Drug,MAPS_TO,no specific code for AMbrix for children ,<auto>,1730992733422,
J07BC32117338522,Hepatitis A Vaqta,5,,1 * 0.5ml. Adults from 16 years of age. Injection; susp. in syringe,0.81,APPROVED,EQUAL,Tomer Sagi,1731328561923,43788318,"1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injectable Suspension [Vaqta]",Drug,MAPS_TO,Branded,Tomer Sagi,1731328553373,
J07BA0132128196817,Tick ??borne encephalitis Encepur Adults,3988,,solution for injection; susp. in syringe,0.29,APPROVED,EQUAL,Tomer Sagi,1731328903355,43186936,0.5 ML TICK-BORN ENCEPHALITIS VACC 0.003 MG/ML Injectable Suspension [ENCEPUR],Drug,MAPS_TO,Branded,Tomer Sagi,1731328890312,
J07BC01191310,Hepatitis B Engerix-B 10 mikrogram/0;5 ml,6,,solution for injection; susp. in syringe,0.31,APPROVED,EQUAL,Tomer Sagi,1731329873751,46275244,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],Drug,MAPS_TO,Branded,Tomer Sagi,1731329859306,
