source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Drug 192617,0,VNR,CENTYL MED KALIUMKLORID (25+573 MG ),19063004,RxNorm,2024-05-13,,
Drug 37853,0,VNR,KALEORID (750 MG ),44058287,RxNorm Extension,2024-05-13,,
Drug 8453,0,VNR,PANODIL (665 MG ),19107374,RxNorm,2024-05-13,,
Drug 24618,0,VNR,HJERTEMAGNYL (75 MG ),19004043,RxNorm,2024-05-13,,
Drug 37846,0,VNR,KALEORID (750 MG ),44058287,RxNorm Extension,2024-05-13,,
Drug 12609,0,VNR,PRIMCILLIN (800 MG ),19106639,RxNorm,2024-05-13,,
Drug 474718,0,VNR,PAMOL (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 92655,0,VNR,VAGIFEM (10 MIKROGRAM ),783426,RxNorm Extension,2024-05-13,,
Drug 56250,0,VNR,PINEX (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 5899,0,VNR,"METFORMIN ""ACTAVIS"" (500 MG )",40164929,RxNorm,2024-05-13,,
Drug 74702,0,VNR,ELTROXIN (50 MIKROGRAM ),40175210,RxNorm,2024-05-13,,
Drug 83644,0,VNR,PANODIL (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 183400,0,VNR,"DIGOXIN ""DAK"" (625 MIKROGRAM )",1326349,RxNorm,2024-05-13,,
Drug 13102,0,VNR,PRIMCILLIN (800 MG ),19106639,RxNorm,2024-05-13,,
Drug 116657,0,VNR,MAREVAN (25 MG ),40163534,RxNorm,2024-05-13,,
Drug 407777,0,VNR,HJERTEMAGNYL (75 MG ),19004043,RxNorm,2024-05-13,,
Drug 19513,0,VNR,FURIX (40 MG ),957136,RxNorm,2024-05-13,,
Drug 128348,0,VNR,CENTYL MITE MED KALIUMKLORID (125+573 MG ),40011852,RxNorm,2024-05-13,,
Drug 494831,0,VNR,PERSANTIN RETARD (200 MG ),1331271,RxNorm,2024-05-13,,
Drug 124347,0,VNR,VENTOLINE (02 MG I DISKOS ),19072359,RxNorm,2024-05-13,,
Drug 149203,0,VNR,VENTOLINE (01 MG/DOSIS ),2070096,RxNorm Extension,2024-05-13,,
Drug 145268,0,VNR,CENTYL MED KALIUMKLORID (25+573 MG ),19063004,RxNorm,2024-05-13,,
Drug 24198,0,VNR,"METOPROLOLSUCCINAT ""HEXAL"" (50 MG )",40167216,RxNorm,2024-05-13,,
Drug 74691,0,VNR,ELTROXIN (100 MIKROGRAM ),40169766,RxNorm,2024-05-13,,
Drug 510313,0,VNR,"KODEIN ""DAK"" (25 MG )",40223099,RxNorm,2024-05-13,,
Drug 107821,0,VNR,IMOZOP (75 MG ),19044885,RxNorm,2024-05-13,,
Drug 50526,0,VNR,HJERTEMAGNYL (150 MG ),19059059,RxNorm,2024-05-13,,
Drug 50582,0,VNR,FEMICEPT (150 MKG+30 MKG ),35766593,RxNorm Extension,2024-05-13,,
Drug 519371,0,VNR,"MAGNYL ""DAK"" (100 MG )",19021575,RxNorm,2024-05-13,,
Drug 99242,0,VNR,FUCITHALMIC (1 % ),40755236,RxNorm Extension,2024-05-13,,
Drug 510732,0,VNR,PAMOL (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 19745,0,VNR,FURIX (40 MG ),957136,RxNorm,2024-05-13,,
Drug 415679,0,VNR,VAGIFEM (25 MIKROGRAM ),783424,RxNorm Extension,2024-05-13,,
Drug 53787,0,VNR,"ATORVASTATIN ""TEVA"" (40 MG )",1545996,RxNorm,2024-05-13,,
Drug 62737,0,VNR,BETOLVEX (1 MG ),19075953,RxNorm,2024-05-13,,
Drug 139170,0,VNR,PINEX (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 440529,0,VNR,CILEST (250+35 MIKROGRAM ),19057704,RxNorm,2024-05-13,,
Drug 61804,0,VNR,NOVYNETTE (150 + 20 MIKROGRAM ),1549852,RxNorm,2024-05-13,,
Drug 41830,0,VNR,DICILLIN (500 MG ),1724668,RxNorm,2024-05-13,,
Drug 186023,0,VNR,ELTROXIN (100 MIKROGRAM ),40169766,RxNorm,2024-05-13,,
Drug 64318,0,VNR,"PARACETAMOL ""ORIFARM"" (500 MG )",19020053,RxNorm,2024-05-13,,
Drug 59071,0,VNR,DOLOL (50 MG ),1103398,RxNorm,2024-05-13,,
Drug 48744,0,VNR,PANODIL (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 516039,0,VNR,"PREDNISOLON ""DAK"" (5 MG )",1550560,RxNorm,2024-05-13,,
Drug 73178,0,VNR,"METFORMIN ""SANDOZ"" (500 MG )",40164929,RxNorm,2024-05-13,,
Drug 409632,0,VNR,MAREVAN (25 MG ),40163534,RxNorm,2024-05-13,,
Drug 166406,0,VNR,"SIMVASTATIN ""SANDOZ"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 541060,0,VNR,BRICANYL TURBUHALER (05 MG/DOSIS ),43290291,RxNorm Extension,2024-05-13,,
Drug 579177,0,VNR,SELO-ZOK (50 MG ),40167216,RxNorm,2024-05-13,,
