Occurrences	Code
53613	NPU28640
49797	NPU27898
49693	NPU21715
47708	NPU22109
46846	NPU22113
43993	NPU18224
43949	NPU04013
43866	NPU17551
43457	NPU22071
43283	NPU18598
43115	NPU08912
42835	NPU08638
42514	NPU08670
41516	NPU19663
40956	NPU21822
40925	NPU28842
40359	NPU03434
40348	NPU22122
40305	NPU22110
40245	NPU19840
40161	NPU01471
40036	NPU21717
39919	NPU26737
39491	NPU08551
39421	NPU03839
38780	NPU22077
38764	NPU04133
38497	NPU08908
38142	NPU19659
37815	NPU19879
37539	NPU16132
36972	NPU19812
36840	NPU10266
36832	NPU08911
36511	NPU18634
35987	NPU21528
35986	NPU21526
35481	NPU02545
34660	NPU19764
34618	NPU10774
34609	NPU10763
34253	NPU09332
34145	NPU03351
33946	NPU27120
33934	NPU10215
33824	NPU27446
33484	NPU22104
33390	NPU19744
33189	NPU08898
33088	NPU09256
33013	NPU21687
32786	NPU08563
32579	NPU18633
31921	NPU19978
31821	NPU19909
31494	NPU28912
31486	NPU21527
31179	NPU22271
31154	NPU22273
30934	NPU08546
30864	NPU28634
30719	NPU18215
30696	NPU10216
30117	NPU12222
30000	NPU17573
29951	NPU18207
29892	NPU13322
29830	NPU08671
29418	NPU03357
29368	NPU13321
28957	NPU19737
28913	NPU08637
28894	NPU22117
28275	NPU12410
28116	NPU22082
28022	NPU08548
27834	NPU19576
27702	NPU18403
27682	NPU20024
27553	NPU22108
27535	NPU01457
27461	NPU12580
27364	NPU22076
27125	NPU08686
26930	NPU59614
26351	NPU27348
26250	NPU21707
25940	NPU03024
25552	NPU01442
25184	NPU27611
25010	NPU22087
24800	NPU10115
24798	NPU03433
24262	NPU14888
24081	NPU22070
23876	NPU22103
23656	NPU14495
23354	NPU53980
23143	NPU03794
22960	NPU08729
22871	NPU22073
22840	NPU18597
22443	NPU19601
22257	NPU22116
21977	NPU22081
21903	NPU17076
21825	NPU53982
21789	NPU08015
21550	NPU14138
21274	NPU04651
21271	NPU04650
21191	NPU08544
21083	NPU12996
21063	NPU04653
21054	NPU08946
21051	NPU18184
21051	NPU08947
20917	NPU08639
20827	NPU27314
20821	NPU28291
20648	NPU28635
20609	NPU14534
20587	NPU04652
20451	NPU14475
20426	NPU04173
20397	NPU01816
20114	NPU18243
20071	NPU28641
20007	NPU02193
19903	NPU19664
19737	NPU03085
19737	NPU01440
19678	NPU18192
19665	NPU02476
19643	NPU18637
19616	NPU28552
19558	NPU14535
19466	NPU18636
19440	NPU26712
19371	NPU19269
19329	NPU21558
19312	NPU10831
19285	NPU22299
19241	NPU19674
19166	NPU12028
19156	NPU16102
19054	NPU10214
19040	NPU28867
19033	NPU22272
19025	NPU22085
19020	NPU18000
18975	NPU22095
18957	NPU29229
18758	NPU19270
18739	NPU19726
18665	NPU12183
18649	NPU13030
18648	NPU22069
18643	NPU12013
18426	NPU26675
18387	NPU19781
18372	NPU02481
18367	NPU12230
18354	NPU57454
18346	NPU12233
18336	NPU14900
18110	NPU18635
18088	NPU08549
18043	NPU03281
18040	NPU18999
18039	NPU28490
17957	NPU21819
17929	NPU14436
17894	NPU08893
17872	NPU19851
17847	NPU08916
17811	NPU10978
17792	NPU19852
17757	NPU26713
17569	NPU02488
17552	NPU17111
17543	NPU21577
17490	NPU04591
17427	NPU12738
17402	NPU26848
17255	NPU19813
17216	NPU09358
17155	NPU02032
17142	NPU18194
17141	NPU08574
17082	NPU28913
16952	NPU08545
16915	NPU28318
16826	NPU54111
16703	NPU18177
16622	NPU12739
16557	NPU28741
16547	NPU03812
16515	NPU27285
16488	NPU28914
16460	NPU11215
16411	NPU21557
16234	NPU04221
16229	NPU11009
16199	NPU08894
16181	NPU27353
16165	NPU28199
16152	NPU12018
16113	NPU18343
16025	NPU01572
16016	NPU01518
15972	NPU03902
15915	NPU03460
15893	NPU03461
15833	NPU12016
15817	NPU08897
15750	NPU14259
15690	NPU21784
15627	NPU26645
15591	NPU22123
15575	NPU12017
15561	NPU12559
15494	NPU27163
15404	NPU54272
15289	NPU03254
15162	NPU27281
15084	NPU22036
15063	NPU22027
15042	NPU22032
15039	NPU22037
14878	NPU04584
14750	NPU57689
14695	NPU59966
14687	NPU18905
14648	NPU28837
14603	NPU22118
14581	NPU19743
14520	NPU26649
14514	NPU26720
14482	NPU10298
14479	NPU08952
14283	NPU19843
14273	NPU57046
14271	NPU57041
14265	NPU57042
14221	NPU59147
14083	NPU19768
14055	NPU22107
14051	NPU18901
14012	NPU21694
13975	NPU59146
13970	NPU22105
13900	NPU13236
13857	NPU60243
13854	NPU61048
13854	NPU61047
13843	NPU18324
13808	NPU57000
13766	NPU08752
13759	NPU57024
13718	NPU01679
13621	NPU10394
13548	NPU04611
13499	NPU02817
13469	NPU18195
13437	NPU57697
13436	NPU26813
13432	NPU09364
13391	NPU01523
13323	NPU28740
13317	NPU18615
13256	NPU22254
13251	NPU22255
13246	NPU18360
13220	NPU56044
13202	NPU19671
13152	NPU21835
13129	NPU18180
13106	NPU53994
13102	NPU54007
13102	NPU54004
13099	NPU03927
13098	NPU54005
13092	NPU54002
13085	NPU54009
13084	NPU54003
13073	NPU54008
13071	NPU54006
13070	NPU54001
13043	NPU54010
12993	NPU54000
12982	NPU17011
12982	NPU17009
12981	NPU17010
12946	NPU26622
12895	NPU08016
12895	NPU03410
12824	NPU59808
12810	NPU28840
12711	NPU13195
12691	NPU04516
12603	NPU28556
12597	NPU18242
12563	NPU04149
12493	NPU04778
12465	NPU03936
12459	NPU13208
12397	NPU02523
12339	NPU03942
12263	NPU28421
12238	NPU29497
12216	NPU28553
12153	NPU28412
12151	NPU28426
12083	NPU14374
12064	NPU28425
12045	NPU04360
11974	NPU10984
11949	NPU02430
11939	NPU18244
11932	NPU22080
11891	NPU02318
11823	NPU08968
11808	NPU01982
11776	NPU03939
11771	NPU29504
11753	NPU01786
11729	NPU22127
11676	NPU03933
11514	NPU02948
11476	NPU08070
11471	NPU11187
11399	NPU26819
11397	NPU01505
11357	NPU29636
11345	NPU13177
11330	NPU08017
11313	NPU19975
11258	NPU18610
11161	NPU08018
11152	NPU08067
11086	NPU56409
11046	NPU14462
11011	NPU03955
11007	NPU59314
10985	NPU12544
10977	NPU19660
10924	NPU22041
10879	NPU29470
10868	NPU22079
10859	NPU29487
10819	NPU61094
10773	NPU29482
10766	NPU20189
10754	NPU02643
10747	NPU29471
10738	NPU03690
10710	NPU22134
10699	NPU28515
10678	NPU08678
10674	NPU03322
10625	NPU10143
10603	NPU19740
10566	NPU26818
10536	NPU22119
10528	NPU01773
10511	NPU27492
10479	NPU10841
10431	NPU03962
10404	NPU27988
10352	NPU54713
10312	NPU20182
10293	NPU26855
10268	NPU26856
10261	NPU14644
10233	NPU18913
10210	NPU03988
10169	NPU16355
10148	NPU10947
9992	NPU13414
9870	NPU09119
9860	NPU04156
9758	NPU01439
9744	NPU04152
9741	NPU12471
9707	NPU29058
9684	NPU28383
9663	NPU02648
9645	NPU54303
9591	NPU27961
9568	NPU02739
9529	NPU08934
9526	NPU14536
9500	NPU14537
9494	NPU28756
9471	NPU53973
9459	NPU27682
9455	NPU27677
9447	NPU12583
9429	NPU19874
9422	NPU14449
9422	NPU14448
9422	NPU14447
9422	NPU14446
9416	NPU12586
9412	NPU12015
9405	NPU12585
9395	NPU60266
9377	NPU26714
9374	NPU10815
9339	NPU27687
9266	NPU11163
9242	NPU28215
9211	NPU12123
9191	NPU28835
9180	NPU22099
9163	NPU21371
9155	NPU28216
9141	NPU26790
9112	NPU53667
9112	NPU28217
9045	NPU21760
9039	NPU01449
8979	NPU22106
8932	NPU21762
8915	NPU09090
8900	NPU16403
8863	NPU29352
8837	NPU17540
8792	NPU12733
8718	NPU28171
8703	NPU10158
8655	NPU21563
8655	NPU17077
8634	NPU03965
8569	NPU13094
8558	NPU13146
8532	NPU19575
8524	NPU10163
8508	NPU28645
8507	NPU17075
8503	NPU10161
8498	NPU22102
8483	NPU03950
8463	NPU10159
8431	NPU21696
8395	NPU19679
8374	NPU03917
8352	NPU04994
8329	NPU53978
8328	NPU57406
8277	NPU02903
8225	NPU01706
8198	NPU59109
8187	NPU28011
8153	NPU59229
8149	NPU59228
8147	NPU03918
8124	NPU27499
8109	NPU27500
8100	NPU28331
8094	NPU03949
8070	NPU17074
8057	NPU19276
8015	NPU10948
7981	NPU13147
7974	NPU59110
7968	NPU10895
7963	NPU53981
7942	NPU29498
7896	NPU03062
7889	NPU19275
7888	NPU27374
7888	NPU27373
7882	NPU13093
7875	NPU27375
7846	NPU03916
7825	NPU27294
7819	NPU22100
7768	NPU24562
7711	NPU12519
7707	NPU27991
7705	NPU28111
7678	NPU17619
7671	NPU27548
7666	NPU22126
7657	NPU53987
7617	NPU13386
7594	NPU02499
7583	NPU27764
7578	NPU26944
7577	NPU27765
7568	NPU54271
7563	NPU28415
7558	NPU28422
7553	NPU18601
7552	NPU27763
7549	NPU28420
7549	NPU28416
7520	NPU28413
7504	NPU10145
7489	NPU27762
7481	NPU26731
7464	NPU08728
7416	NPU01594
7396	NPU26718
7374	NPU22101
7349	NPU13183
7347	NPU27136
7290	NPU16111
7273	NPU14511
7242	NPU01589
7236	NPU03417
7222	NPU29586
7222	NPU11050
7215	NPU29623
7213	NPU04904
7211	NPU29621
7209	NPU29620
7193	NPU14544
7184	NPU29622
7177	NPU21562
7151	NPU19681
7069	NPU03253
7060	NPU60286
6971	NPU19952
6966	NPU18632
6941	NPU22128
6920	NPU59105
6888	NPU11020
6881	NPU01401
6843	NPU29673
6815	NPU03945
6763	NPU18060
6762	NPU18055
6744	NPU01219
6711	NPU28874
6711	NPU04172
6694	NPU19807
6677	NPU29103
6674	NPU29138
6659	NPU19739
6651	NPU29917
6646	NPU20012
6576	NPU10894
6555	NPU10926
6548	NPU26728
6544	NPU08011
6537	NPU26896
6502	NPU29232
6484	NPU08927
6457	NPU57704
6432	NPU27459
6407	NPU11098
6396	NPU27817
6386	NPU28653
6366	NPU13040
6333	NPU14569
6321	NPU21699
6293	NPU11205
6289	NPU11066
6255	NPU08097
6253	NPU28454
6248	NPU18911
6247	NPU28493
6241	NPU18237
6230	NPU19648
6158	NPU14028
6120	NPU29115
6119	NPU02343
6095	NPU04256
6046	NPU19868
6026	NPU04457
6020	NPU27899
6020	NPU27311
6017	NPU21523
5999	NPU10485
5992	NPU29097
5981	NPU27445
5968	NPU29099
5966	NPU14274
5958	NPU08615
5956	NPU02345
5947	NPU14263
5947	NPU01132
5937	NPU56941
5876	NPU29096
5850	NPU03959
5847	NPU57861
5844	NPU08618
5823	NPU54289
5783	NPU03095
5755	NPU20190
5696	NPU29140
5682	NPU28494
5661	NPU02414
5615	NPU57226
5615	NPU18326
5596	NPU53094
5595	NPU58281
5594	NPU53099
5594	NPU53098
5594	NPU09070
5590	NPU10844
5578	NPU18887
5574	NPU18777
5573	NPU09068
5549	NPU29098
5537	NPU29100
5517	NPU13219
5516	NPU58566
5514	NPU02595
5483	NPU27823
5482	NPU27822
5480	NPU27821
5440	NPU54712
5421	NPU28705
5410	NPU28704
5377	NPU13265
5339	NPU28263
5326	NPU08044
5323	NPU18123
5322	NPU18121
5321	NPU18125
5321	NPU18124
5316	NPU27275
5315	NPU18122
5313	NPU10221
5294	NPU54290
5286	NPU12581
5248	NPU28908
5243	NPU04070
5218	NPU08945
5188	NPU14583
5187	NPU11114
5184	NPU20027
5144	NPU22129
5115	NPU02971
5039	NPU14584
5001	NPU13249
5000	NPU56571
4986	NPU09202
4985	NPU09218
4975	NPU09215
4955	NPU09210
4905	NPU12682
4883	NPU17134
4878	NPU10131
4771	NPU01162
4765	NPU04072
4750	NPU27797
4749	NPU53666
4748	NPU28918
4744	NPU28620
4743	NPU28649
4742	NPU28419
4740	NPU57921
4740	NPU54745
4740	NPU28648
4718	NPU14570
4695	NPU06831
4695	NPU03951
4691	NPU06064
4690	NPU03047
4686	NPU10612
4685	NPU18131
4684	NPU27276
4684	NPU18129
4683	NPU18133
4683	NPU18132
4683	NPU18130
4643	NPU60221
4637	NPU02408
4633	NPU04693
4619	NPU11035
4615	NPU13313
4605	NPU26729
4596	NPU10995
4589	NPU04111
4589	NPU04110
4589	NPU04109
4589	NPU04108
4587	NPU17114
4587	NPU04107
4577	NPU29626
4571	NPU14172
4518	NPU02572
4512	NPU14530
4502	NPU59195
4493	NPU11214
