SourceCode;SourceName;Valid from;Valid to;Country
101;København;;;41930999
147;Frederiksberg;;;41930999
151;Ballerup;;;41930999
153;Brøndby;;;41930999
155;Dragør;;;41930999
157;Gentofte;;;41930999
159;Gladsaxe;;;41930999
161;Glostrup;;;41930999
163;Herlev;;;41930999
165;Albertslund;;;41930999
167;Hvidovre;;;41930999
169;Høje-Taastrup;01-01-2007;;41930999
171;Ledøje-Smørum;;31-12-2006;41930999
173;Lyngby-Taarbæk;01-01-2007;;41930999
175;Rødovre;;;41930999
181;Søllerød;;31-12-2006;41930999
183;Ishøj;;;41930999
185;Tårnby;;;41930999
187;Vallensbæk;;;41930999
189;Værløse;;31-12-2006;41930999
190;Furesø;01-01-2007;;41930999
201;Allerød;;;41930999
205;Birkerød;;31-12-2006;41930999
207;Farum;;31-12-2006;41930999
208;Fredensborg-Humlebæk;;31-12-2006;41930999
209;Frederikssund;;31-12-2006;41930999
210;Fredensborg;01-01-2007;;41930999
211;Frederiksværk;;31-12-2006;41930999
213;Græsted-Gilleleje;;31-12-2006;41930999
215;Helsinge;;31-12-2006;41930999
217;Helsingør;;;41930999
219;Hillerød;;;41930999
221;Hundested;;31-12-2006;41930999
223;Hørsholm;;;41930999
225;Jægerspris;;31-12-2006;41930999
227;Karlebo;;31-12-2006;41930999
229;Skibby;;31-12-2006;41930999
230;Rudersdal;01-01-2007;;41930999
231;Skævinge;;31-12-2006;41930999
233;Slangerup;;31-12-2006;41930999
235;Stenløse;;31-12-2006;41930999
237;Ølstykke;;31-12-2006;41930999
240;Egedal;01-01-2007;;41930999
250;Frederikssund;01-01-2007;;41930999
251;Bramsnæs;;31-12-2006;41930999
253;Greve;;;41930999
255;Gundsø;;31-12-2006;41930999
257;Hvalsø;;31-12-2006;41930999
259;Køge;;;41930999
260;Halsnæs;01-01-2007;;41930999
261;Lejre;;31-12-2006;41930999
263;Ramsø;;31-12-2006;41930999
265;Roskilde;;;41930999
267;Skovbo;;31-12-2006;41930999
269;Solrød;;;41930999
270;Gribskov;01-01-2007;;41930999
