sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:unit,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer;;;;;
NPU03695,Urine in Patient volume,609462,,millilitre,0.57,APPROVED,EQUAL,Tomer Sagi,1727447605326,3036603,Volume of Urine,Measurement,MAPS_TO,,Tomer Sagi,1727447271614,;;;;;
NPU28820,Carbon dioxide in Plasma central venous blood gas tension,117492,,kilopascal,0.58,APPROVED,EQUAL,Tomer Sagi,1727447734865,1616989,Carbon dioxide [Partial pressure] in Central venous blood,Measurement,MAPS_TO,,<auto>,1727445380142,;;;;;
NPU17139,Carbon dioxide in Plasma cord Blood; arterial Blood gas tension,173797,,kilopascal,0.54,APPROVED,EQUAL,Tomer Sagi,1727447742099,3003932,Carbon dioxide [Partial pressure] in Arterial cord blood,Measurement,MAPS_TO,,<auto>,1727445381069,;;;;
NPU19857,beta-2-Microglobulin in Plasma mass concentration,87983,,milligram per litre,0.70,APPROVED,EQUAL,Tomer Sagi,1727447748718,3013201,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1727445386773,;;;;;
NPU08669,Prostate-specific antigen in Plasma mass concentration,3406065,,microgram per litre,0.41,APPROVED,EQUAL,Tomer Sagi,1727447876283,3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1727445391441,;;;;;
NPU11574,Inhalation antigen antibody in Plasma arbitrary concentration,196190,,,0.36,APPROVED,EQUAL,Tomer Sagi,1727448216994,3002670,Multiple inhalant allergen IgE Ab [Units/volume] in Serum,Measurement,MAPS_TO,,Tomer Sagi,1727448212550,;;;;;
NPU29394,Urokinase plasminogen activator surface receptor in Plasma mass concentration,81118,,microgram per litre,0.64,APPROVED,EQUAL,Tomer Sagi,1727448429089,3965350,Soluble urokinase plasminogen activator receptor [Mass/volume] in Plasma,Measurement,MAPS_TO,,<auto>,1727445394847,;;;;;
NPU12020,Cardiolipin antibody in Plasma arbitrary substance concentration,66034,,(procedure defined unit),0.39,APPROVED,EQUAL,Tomer Sagi,1729953754631,3003461,Cardiolipin Ab [Units/volume] in Serum,Measurement,MAPS_TO,according to https://www.bohlab.dk/gamma/index.php/npu12020 this is kiU/L,Tomer Sagi,1727448474852,;;;;;
NPU01972,Estradiol in Plasma substance concentration,597791,,nanomole per litre,0.42,APPROVED,EQUAL,Tomer Sagi,1727448777560,3026725,Estradiol (E2) [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,note units,Tomer Sagi,1727448772232,;;;;;
NPU08914,Glucose in Plasma substance concentration,173567,,millimole per litre,0.39,APPROVED,EQUAL,Tomer Sagi,1727448789984,3013826,Glucose [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1727445404701,;;;;;
NPU28389,DNA-directed RNA polymerase III subunit RPC1 antibody in Plasma arbitrary substance concentration,117186,,(procedure defined unit),0.32,APPROVED,EQUAL,Tomer Sagi,1730011336443,43055282,RNA polymerase III RP11 IgG Ab [Presence] in Serum or Plasma by Immunoassay,Measurement,MAPS_TO,presence by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU28389,<auto>,1727445406270,;;;;;
NPU03013,Oxyhaemoglobin in Haemoglobin Fe; total; arterial Blood substance fraction,3342601,,,0.62,APPROVED,EQUAL,Tomer Sagi,1727450173507,3014007,Fractional oxyhemoglobin in Arterial blood,Measurement,MAPS_TO,,<auto>,1727445412201,;;;
NPU18020,Zinc in Plasma fasting Patient substance concentration,80907,,micromole per litre,0.35,APPROVED,EQUAL,Tomer Sagi,1727450322526,3020717,Zinc [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727450319957,;;;;;
