sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:orig,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
KTNB0H,Soft bandage ankle and foot,-1,,Charlotte,0.69,APPROVED,WIDER,SBRU,1727693492587,37115079,Entire ankle and foot,Spec Anatomic Site,MAPS_TO,,<auto>,1727171672000,
KTNB0H,Soft bandage ankle and foot,-1,,Charlotte,0.69,APPROVED,WIDER,SBRU,1727693492587,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727693485353,
KNHK59,Osteotomy ossis ankle and foot,-1,,Charlotte,0.66,APPROVED,INEXACT,SBRU,1727703462321,4074271,Osteotomy of bone of foot,Procedure,MAPS_TO,,<auto>,1727171672000,
KTNA3G,Arthrocentesis knee joint,-1,,Charlotte,0.76,APPROVED,EQUAL,SBRU,1727697113960,618912,Arthrocentesis of joint of knee,Procedure,MAPS_TO,,<auto>,1727171672174,
KTNB0X,Soft bandage unspec. region,-1,,Charlotte,0.38,APPROVED,WIDER,SBRU,1727693580141,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727693571171,
KTNB0G,Soft bandage knee joint and lower leg,-1,,Charlotte,0.54,APPROVED,WIDER,SBRU,1727693749144,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727693404131,
KTNB0G,Soft bandage knee joint and lower leg,-1,,Charlotte,0.54,APPROVED,WIDER,SBRU,1727693749144,4111908,Entire knee joint,Spec Anatomic Site,MAPS_TO,,SBRU,1727693715721,
KNHK19,Excisio exostosis ossis/resectio ossis ankle and foot,-1,,Charlotte,0.47,APPROVED,EQUIVALENT,SBRU,1727704490916,4194240,Excision of exostosis of bone,Procedure,MAPS_TO,,SBRU,1727704138821,
KNHK19,Excisio exostosis ossis/resectio ossis ankle and foot,-1,,Charlotte,0.47,APPROVED,EQUIVALENT,SBRU,1727704490916,4043029,Procedure on ankle,Procedure,MAPS_TO,,SBRU,1727704214681,
KNHK19,Excisio exostosis ossis/resectio ossis ankle and foot,-1,,Charlotte,0.47,APPROVED,EQUIVALENT,SBRU,1727704490916,4043030,Procedure on foot,Procedure,MAPS_TO,,SBRU,1727704307805,
KMAC13,Rupture of amniotic membrane,-1,,Charlotte,0.85,APPROVED,EQUAL,SBRU,1727183467510,4073419,Forewater rupture of amniotic membrane,Procedure,MAPS_TO,,<auto>,1727171673621,
KTNB1H,Hard prefabricated bandage ankle and foot,-1,,Charlotte,0.56,APPROVED,WIDER,SBRU,1727694967669,37115079,Entire ankle and foot,Spec Anatomic Site,MAPS_TO,,<auto>,1727171673695,
KTNA0X,Puncture in soft tissue unspec. region,-1,,Charlotte,0.45,APPROVED,EQUIVALENT,SBRU,1727701264224,4043161,Procedure on soft tissue,Procedure,MAPS_TO,,SBRU,1727701191009,
KTNA0X,Puncture in soft tissue unspec. region,-1,,Charlotte,0.45,APPROVED,EQUIVALENT,SBRU,1727701264224,4312604,Puncture procedure,Procedure,MAPS_TO,,SBRU,1727701247942,
KMCA12,Sectio caesarea (isthmus uteri) in partu,-1,,Charlotte,0.55,APPROVED,EQUIVALENT,SBRU,1727183873300,4015701,Cesarean section,Procedure,MAPS_TO,,SBRU,1727183812832,
KTNB0B,Soft bandage shoulder joint and upper arm etc,-1,,Charlotte,0.6,APPROVED,WIDER,SBRU,1727693359187,37115081,Entire shoulder and upper arm,Spec Anatomic Site,MAPS_TO,,<auto>,1727171674009,
KTNB0B,Soft bandage shoulder joint and upper arm etc,-1,,Charlotte,0.6,APPROVED,WIDER,SBRU,1727693359187,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727693306221,
KLCA11,Abrasio/aspiration corporis uteri with vacuum,-1,,Charlotte,0.46,APPROVED,EQUIVALENT,SBRU,1727183279100,4170151,Evacuation of uterus,Procedure,MAPS_TO,,SBRU,1727183208856,
KCHB01,Trabeculoplasty with laser (ALT and SLT),-1,,Charlotte,0.59,APPROVED,EQUIVALENT,SBRU,1727174248714,4065926,Laser trabeculoplasty,Procedure,MAPS_TO,,SBRU,1727174192975,
