Column1	npu	freq	description	kind_of_property	unit	americanized	omop	omop label	additional computations	justification
1	NPU03429	80028637	Sodium ion in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
2	NPU02319	77294306	Haemoglobin in Blood 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
3	NPU03230	76939144	Potassium ion in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
4	NPU02593	65084833	Leukocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
5	DNK35302	59994505	Glomerular filtration; in Kidney	flow rate(SA.=1.73 m²)	millilitre per minute	milliliter per minute	8795	mL/min		
6	NPU19651	56816507	Alanine transaminase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
7	NPU03568	55398587	Thrombocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
8	DNK35312	54541927	Severe acute respiratory syndrome coronavirus 2; in RNA	arbitrary concentration 		0	45884084	positive		See under Svar in https://www.ssi.dk/produkter-og-ydelser/diagnostik/diagnostiskhaandbog/s/2070
9	NPU19748	53579794	C-reactive protein in Plasma 	mass concentration	milligram per litre	milligram per liter	8751	mg/L		
10	NPU18016	50587246	Creatininium in Plasma 	substance concentration	micromole per litre (umol/L)	micromole per liter	8749	umol/L		https://athena.ohdsi.org/search-terms/terms/8749
11	NPU19673	48130251	 Albumin in Plasma	mass concentration	gram per litre (g/L)	gram per liter	8636	g/L		https://athena.ohdsi.org/search-terms/terms/8636
12	NPU02636	38241931	Lymphocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
13	NPU02840	37806728	Monocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
14	NPU01349	37783817	Basophilocytes in Blood 		10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
15	NPU04998	36355217	Creatininium in Plasma 	substance concentration	micromole per litre (umol/L)	micromole per liter	8749	umol/L		
16	NPU27783	32190013	Alkaline phosphatase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
17	NPU01370	31726941	Bilirubins in Plasma 	substance concentration	micromole per litre (umol/L)	micromole per liter	8749	umol/L		
18	NPU26631	30901016	Metamyelocytes+Myelocytes+Promyelocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
19	NPU27300	29437417	N-(1-deoxyfructos-1-yl)haemoglobin beta chain in Haemoglobin beta chain Blood	substance fraction	millimole per mole	millimole per mole	9579	mmol/mol		
20	NPU02902	29222178	Neutrophilocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
21	NPU03577	28700446	Thyrotropin in Plasma 	arbitrary substance concentration	10<sup>-3</sup>  arbitrary unit per litre	10<sup>-3</sup>arbitrary unit per liter	44777561	[arb'U]/L		
22	NPU27412	28180316	Glucose in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
23	NPU01933	27274556	Eosinophilocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
24	NPU01566	26607359	Cholesterol+ester in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
25	NPU01567	25769393	Cholesterol+ester; in HDL in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
26	NPU01459	24257260	Carbamide in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
27	NPU01944	22545378	Erythrocytes in Blood 	entitic volume	femtolitre	femtoliter	8583	fL		https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/E/Erytrocytvol.Middel%20[MCV]%20(Blod).pdf
28	NPU04094	21863547	Triglyceride in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
29	NPU19658	21641056	L-Lactate dehydrogenase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
30	DNK35131	21259063	Glomerular filtration; in Kidney	flow rate(SA.=1.73 m²)	millilitre per minute	milliliter per minute	8795	mL/min		
31	NPU01685	21057959	Coagulation; tissue factor-induced in Plasma 	relative time		0	8523	{ratio}		Ratio: INR (International Normalized Ratio) is a standardized measurement used to assess the clotting tendency of blood.https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/K/Koagulationsfaktor%20II+VII+X%20[INR]%20(Plasma).pdf
32	NPU01961	18444453	Erythrocytes in Blood 	volume fraction		0	8554	%		% (Percentage): Hematocrit is typically expressed as a percentage (%)https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/E/Erytrocytter-volfr-(Blod).pdfafdeling/metodeblade/E/Erytrocytter-volfr-(Blod).pdf
33	NPU01568	17985066	Cholesterol+ester; in LDL in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
34	NPU01443	16474947	Calcium in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
35	NPU02321	15027416	Haemoglobin in Erythrocytes Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
36	NPU01700	14959050	Cobalamin in Plasma 	substance concentration	picomole per litre	picomole per liter	8729	pmol/L		
37	NPU01960	13326636	Erythrocytes in Blood 	number concentration	10<sup>12</sup> per litre	10<sup>12</sup> per liter	8734	10*12/L		https://athena.ohdsi.org/search-terms/terms/8734
38	NPU02192	13278085	Glucose in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
39	NPU04144	12481572	Calcium ion in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
40	NPU28172	12235637	Neutrophilocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
41	NPU19657	11184135	gamma-Glutamyltransferase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
42	NPU18282	10653402	Eosinophilocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
43	NPU10267	10481866	Calcifediol+25-Hydroxyergocalciferol in Plasma 	substance concentration	nanomole per litre	nanomole per liter	8736	nmol/L		
44	NPU19763	10155231	Ferritin in Plasma 	mass concentration	microgram per litre	microgram per liter	8748	ug/L		https://athena.ohdsi.org/search-terms/terms/8748
45	NPU19653	9854718	Amylase; pancreatic type in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
46	NPU53077	9348133	Alkaline phosphatase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
47	NPU02320	8680192	Haemoglobin in Erythrocytes Blood	entitic amount-of-substance	femtomole	femtomole	9498	fmol		
48	NPU01470	8586685	Carbon dioxide in Plasma arterial Blood	gas tension	kilopascal	kilopascal	44777602	kPa		
49	NPU12474	8565701	Hydrogen ion in Plasma arterial Blood	pH		0	8482	pH		pH in the blood. According to:https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=Andre&Lok=AUH&ID=NPU12474
50	NPU03011	8555157	Oxygen in Haemoglobin Fe, O<sub>2</sub>-binding, arterial Blood	saturation		0	8581		{hb}		Hb(aB)-Oxygen (O2) saturation: according to: https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=Andre&Lok=AUH&ID=NPU03011
51	NPU08977	8554712	Oxygen in Plasma arterial Blood	gas tension	kilopascal	kilopascal	44777602	kPa		
52	NPU02508	8341048	Iron in Plasma 	substance concentration	micromole per litre	micromole per liter	8749	umol/L		
53	NPU03688	8080769	Urate in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
54	NPU03943	7985329	Lactate in Plasma arterial Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
55	NPU18162	7687214	Erythrocyte volumes in Erythrocytes Blood	relative distribution width		0	8554	%		% (Percentage) Erythrocyte Distribution Width (RDW) is typically expressed as a percentage (%). Source: https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=Praksis&Lok=AUH&ID=NPU18162
56	NPU18878	7656638	Coagulation; tissue factor-induced in Plasma 	arbitrary substance concentration	(procedure defined unit)	(procedure defined unit)	8523	{ratio}		result is a ratio according to  https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/K/Koagulationsfaktor%20II-VII-X%20(Plasma).pdf
57	NPU03096	7437337	Phosphate(P, inorganic) in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
58	NPU09102	7254266	Creatininium in Urine 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
59	NPU19677	7251526	 Albumin in Urine	mass concentration	milligram per litre	milligram per liter	8751	mg/L		
60	NPU19661	7200682	Albumin/Creatininium in Urine 	mass ratio	10<sup>-3</sup>	10<sup>-3</sup>	9364	[mil_i]		https://athena.ohdsi.org/search-terms/terms/9364
61	NPU19652	6755774	Amylase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
62	NPU03579	6610054	Thyroxine in Plasma 	substance concentration	picomole per litre	picomole per liter	8729	pmol/L		
63	NPU08694	6313116	Reticulocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
64	NPU02647	6181884	Magnesium in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
65	NPU19656	5960377	Creatine kinase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
66	NPU04169	5868309	Calcium in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
67	NPU21533	5630585	Glucose in Plasma arterial Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
68	NPU01472	5620690	Carbon dioxide in Plasma venous Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
69	NPU02070	5531521	Folate in Plasma 	substance concentration	nanomole per litre	nanomole per liter	8736	nmol/L		
70	NPU19655	5472644	Alkaline phosphatase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
71	DNK35308	5281686	Cholesterol+ester; in LDL in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
72	NPU01435	4721268	Calcifediol in Plasma 	substance concentration	nanomole per litre	nanomole per liter	8736	nmol/L		
73	NPU03620	4704551	Triglyceride in Plasma fasting Patient	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
74	NPU04191	4676299	Iron in Transferrin Iron binding sites, Plasma	substance fraction		0	8554	%		% (Percentage). The measured value forTransferrin saturation according to https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEH&ID=NPU04191
75	NPU03815	4561709	Base excess in Extracellular fluid 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
76	NPU03624	4511607	Triiodothyronine in Plasma 	substance concentration	nanomole per litre	nanomole per liter	8736	nmol/L		
77	NPU14267	4427176	Large unstained cells in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
78	NPU22089	4427148	Glucose in Plasma capillary Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
79	NPU29057	4356406	Haemoglobin in Faeces 	arbitrary substance concentration	(procedure defined unit)	(procedure defined unit)	8748	ug/L		https://labportal.rh.dk/LabPortal.asp?Mode=View&Id=2301 and https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/H/H%C3%A6moglobin%20(F%C3%A6ces).pdf
80	NPU03607	4045416	Transferrin in Plasma 	substance concentration	micromole per litre	micromole per liter	8749	umol/L		
81	NPU03578	4025118	Thyroxine in Plasma 	substance concentration	nanomole per litre	nanomole per liter	8736	nmol/L		
82	NPU01569	3434831	Cholesterol+ester; in VLDL in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
83	NPU08669	3406065	Prostate-specific antigen in Plasma 	mass concentration	microgram per litre	microgram per liter	8748	ug/L		
84	NPU03013	3342601	Oxyhaemoglobin in Haemoglobin Fe, total, arterial Blood	substance fraction		0	8737	%{of'HGB}		%{of'HGB} According to: https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/O/Oxyh%C3%A6moglobin%20(ABL)%20(Blod).pdf
85	NPU03028	3253629	Parathyroid hormone in Plasma 	substance concentration	picomole per litre	picomole per liter	8729	pmol/L		
86	NPU19795	3117020	Immunoglobulin A in Plasma 	mass concentration	gram per litre	gram per liter	8636	g/L		
87	NPU19814	2991310	Immunoglobulin G in Plasma 	mass concentration	gram per litre	gram per liter	8636	g/L		
88	NPU04207	2831025	Glucose in Urine 	arbitrary concentration		0	8753	mmol/L		mmol/L according to: https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=&ID=NPU04207
89	NPU02410	2811691	Hydrogen carbonate in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
90	NPU01682	2715748	Coagulation; surface-induced in Plasma 	time	second	second	8555	s		
91	NPU10504	2707609	Acetoacetate in Urine 	arbitrary concentration		0	8753	mmol/L	convert to mmoL per liter using this table: https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=&Lok=AUH&ID=NPU10504	mmol/L. According to:https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=&Lok=AUH&ID=NPU10504 
92	NPU19825	2700233	Immunoglobulin M in Plasma 	mass concentration	gram per litre	gram per liter	8636	g/L		
93	NPU01473	2670349	Carbon monoxide haemoglobin in Haemoglobin Fe, Blood	substance fraction		0	8554	%		% (Percentage). According to: https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/C/Carbonmonoxidh%C3%A6moglobin%20(ABL)%20(Blod).pdf 
94	NPU02725	2641875	Methaemoglobin in Haemoglobin Fe, Blood	substance fraction		0	720868	{fraction}		Fraction: Source https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/M/Meth%C3%A6moglobin%20(ABL)%20(Blod).pdf
95	NPU02415	2602221	Hydrogen ion in Urine 	pH		0	8482	pH		pH units according to https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=&Lok=HEM&ID=NPU02415
96	NPU26810	2531611	25-Hydroxyergocalciferol in Plasma 	substance concentration	nanomole per litre	nanomole per liter	8736	nmol/L		
97	NPU19654	2493420	Aspartate transaminase in Plasma 	catalytic-activity concentration	Unit per litre	Unit per liter	8645	[U]/L		
98	NPU01536	2483332	Chloride in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
99	NPU03987	2461066	Leukocytes in Urine 	arbitrary concentration		0	9442	10*6/L	use table in procedure to convert	M/L, according to: https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=Andre&Lok=AUH&ID=NPU03987
100	NPU04206	2445879	Protein in Urine 	arbitrary concentration		0	8636	g/L		g/L, according to : https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=&ID=NPU04206
101	NPU03625	2433140	Triiodothyronine in Plasma 	substance concentration	picomole per litre	picomole per liter	8729	pmol/L		
