afd,code,from,updated,to,location_id,location_verification,name,speciale1,speciale2,speciale4,speciale4,sks,,valid
sgh,1301,01-04-1976,27-06-2002,01-01-2500,84,Region Hovedstaden,Rigshospitalet,101,1,,,SKS,,3
sgh,1302,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, FINSENINSTITUTET",102,3,,,,,
sgh,1302,01-01-1978,01-01-1978,31-12-1984,84,Region Hovedstaden,"KØBENHAVN, FINSENINSTITUTET",101,3,,,,,
sgh,1303,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, KOMMUNEHOSPITALET",101,1,,,,,
sgh,1303,01-01-1978,31-03-2003,31-12-2003,84,Region Hovedstaden,"Kommunehospitalet, København",111,1,,,SKS,,3
sgh,1304,01-04-1976,01-04-1976,31-12-1982,84,Region Hovedstaden,"KØBENHAVN, ØRESUNDSHOSPITALET",106,1,,,,,
sgh,1304,01-01-1983,01-01-1983,31-12-1983,84,Region Hovedstaden,"KØBENHAVN, ØRESUNDSHOSPITALET",121,1,,,,,
sgh,1304,01-01-1984,01-01-1984,30-12-1987,84,Region Hovedstaden,"KØBENHAVN, ØRESUNDSHOSPITALET",122,1,,,,,
sgh,1306,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, RUDOLPH BERGHS HOSP",119,1,,,,,
sgh,1306,01-01-1978,01-01-1978,31-12-1982,84,Region Hovedstaden,"KØBENHAVN, RUDOLPH BERGHS HOSP",106,1,,,,,
sgh,1307,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, SUNDBY HOSPITAL",102,1,,,,,
sgh,1307,01-01-1978,31-03-2003,31-12-2003,84,Region Hovedstaden,Sundby Hospital,103,1,,,SKS,,3
sgh,1308,01-01-2014,03-03-2014,01-01-2500,84,Region Hovedstaden,Den Præhospitale Virksomhed,141,1,,,SKS,,1
sgh,1309,01-04-1976,22-11-2013,30-11-2013,84,Region Hovedstaden,Bispebjerg Hospital,102,1,,,SKS,,3
sgh,1309,01-12-2013,22-03-2024,31-03-2024,84,Region Hovedstaden,Bispebjerg og Frederiksberg Hospitaler,102,1,,,SKS,,3
sgh,1309,01-04-2024,22-03-2024,01-01-2500,84,Region Hovedstaden,Bispebjerg og Frederiksberg Hospital,102,1,,,SKS,,1
sgh,1310,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, SØNDERBRO HOSPITAL",103,1,,,,,
sgh,1310,01-01-1978,01-01-1978,31-12-1983,84,Region Hovedstaden,"KØBENHAVN, SØNDERBRO HOSPITAL",111,1,,,,,
sgh,1311,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, BØRNEHOSPITALET PÅ",119,1,,,,,
sgh,1311,01-01-1978,01-01-1978,31-12-1983,84,Region Hovedstaden,"KØBENHAVN, BØRNEHOSPITALET PÅ",111,1,,,,,
sgh,1312,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, VINTERSBØLLE HOSPIT",111,2,,,,,
sgh,1312,01-01-1978,01-01-1978,31-12-1982,84,Region Hovedstaden,"KØBENHAVN, VINTERSBØLLE HOSPIT",106,2,,,,,
sgh,1313,01-04-1976,01-04-1976,31-12-1976,82,Region Midtjylland,"JUELSMINDE, KYSTHOSPITALET",,,,,,,
sgh,1314,01-04-1976,15-02-2008,31-07-2008,85,Region Sjælland,Sct. Hans Hospital,121,1,,,SKS,,3
sgh,1315,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, PSYK. PLEJEHOSP. BR",123,1,,,,,
sgh,1315,01-01-1978,01-01-1978,30-12-1987,84,Region Hovedstaden,"KØBENHAVN, PSYK. PLEJEHOSP. BR",121,1,,,,,
sgh,1315,31-12-1987,31-12-1987,31-12-1991,84,Region Hovedstaden,"KØBENHAVN, BRØNDBYLUND",450,1,,,,,
sgh,1316,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, PSYK. PLEJEHOSP. RI",123,1,,,,,
sgh,1316,01-01-1978,01-01-1978,30-12-1987,84,Region Hovedstaden,"KØBENHAVN, PSYK. PLEJEHOSP. RI",121,1,,,,,
sgh,1316,31-12-1987,31-12-1987,31-12-1991,84,Region Hovedstaden,"KØBENHAVN, RINGBO",450,1,,,,,
sgh,1317,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, PSYK. PLEJEHOSP. SU",123,1,,,,,
sgh,1317,01-01-1978,01-01-1978,30-12-1987,84,Region Hovedstaden,"KØBENHAVN, PSYK. PLEJEHOSP. SU",121,1,,,,,
sgh,1317,31-12-1987,31-12-1987,31-12-1991,84,Region Hovedstaden,"KØBENHAVN, SUNDBYGÅRD",450,1,,,,,
sgh,1318,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, PSYK. PLEJEHOSP. HE",123,1,,,,,
sgh,1318,01-01-1978,01-01-1978,30-12-1987,84,Region Hovedstaden,"KØBENHAVN, PSYK. PLEJEHOSP. HE",121,1,,,,,
sgh,1318,31-12-1987,31-12-1987,31-12-1991,84,Region Hovedstaden,"KØBENHAVN, HEDELUND",450,1,,,,,
sgh,1324,01-04-1976,01-04-1976,31-12-1982,84,Region Hovedstaden,"KØBENHAVN, DE GAMLES BY",450,1,,,,,
sgh,1325,01-04-1976,01-04-1976,31-12-1977,84,Region Hovedstaden,"KØBENHAVN, NØRRE HOSPITAL",,,,,,,
sgh,1326,01-04-1976,01-04-1976,31-12-1982,84,Region Hovedstaden,"KØBENHAVN, SUNDHOLMS SYGEAFDEL",139,1,,,,,
sgh,1327,01-04-1976,01-04-1976,31-12-1978,84,Region Hovedstaden,"KØBENHAVN, SCT. JOSEPHS HOSPIT",102,2,,,,,
sgh,1327,01-01-1979,01-01-1979,31-12-1979,84,Region Hovedstaden,"KØBENHAVN, SCT. JOSEPHS HOSPIT",119,1,,,,,
sgh,1327,01-01-1980,01-01-1980,31-12-1982,84,Region Hovedstaden,"KØBENHAVN, SCT. JOSEPHS HOSPIT",119,1,,,,,
sgh,1328,01-04-1976,01-04-1976,31-12-1978,84,Region Hovedstaden,KØBENHAVN ORTOPÆDISK HOSPITAL,119,2,,,,,
sgh,1329,01-04-1976,01-04-1976,12-08-1994,84,Region Hovedstaden,"KØBENHAVN, VESTRE HOSPITAL",139,1,,,,,
sgh,1330,01-04-1976,02-11-2015,04-12-2015,84,Region Hovedstaden,Hvidovre Hospital,101,1,,,SKS,,3
sgh,1330,05-12-2015,02-11-2015,01-01-2500,84,Region Hovedstaden,Amager og Hvidovre Hospital,101,1,,,SKS,,1
sgh,1331,01-04-1976,01-04-1976,31-12-1982,84,Region Hovedstaden,"KØBENHAVN, ALKO-AMB. FORCHHAMM",133,2,,,,,
sgh,1331,01-01-1983,01-01-1983,31-12-1985,84,Region Hovedstaden,"KØBENHAVN,ALKO-AMB.FORCHAMMERS",133,1,,,,,
sgh,1332,01-01-1979,29-10-2004,31-10-2004,81,Region Nordjylland,"Statens Øjenklinik, Rymarksvej",138,3,,,SKS,,3
sgh,1333,01-01-1983,01-01-1983,12-08-1994,82,Region Midtjylland,STRANDBJERG REKONVALESCENTHJEM,141,1,,,,,
sgh,1334,18-11-1986,18-11-1986,23-11-1986,84,Region Hovedstaden,"DIAKONISSESTIFTELSEN, KBH.KOM.",450,1,,,,,
sgh,1334,24-11-1986,24-11-1986,12-08-1994,84,Region Hovedstaden,"DIAKONISSESTIFTELSEN, KBH.KOM",450,1,,,,,
sgh,1334,10-10-1995,10-10-1995,14-11-1995,84,Region Hovedstaden,CENTER FOR HJERNESKADE,139,2,,,,,
sgh,1335,18-11-1986,18-11-1986,23-11-1986,81,Region Nordjylland,SKODSBORG BAD KBH. KOM.,450,1,,,,,
sgh,1335,24-11-1986,24-11-1986,12-08-1994,81,Region Nordjylland,"SKODSBORG BAD, KBH.KOM",450,1,,,,,
sgh,1336,15-11-1995,17-10-2005,01-01-2500,85,Region Sjælland,Center for Hjerneskade,161,2,,,SKS,,3
sgh,1337,01-01-2000,17-10-2005,01-01-2500,84,Region Hovedstaden,Diakonissestiftelsens Hospice,170,2,,,SKS,,3
sgh,1338,01-01-2001,17-09-2018,30-09-2018,84,Region Hovedstaden,Ambulatoriet Stæren,180,2,,,SKS,,3
sgh,1339,01-01-2002,16-09-2005,30-09-2005,84,Region Hovedstaden,Åreknudeklinikken,161,2,,,SKS,,3
sgh,1339,01-10-2005,21-02-2012,29-02-2012,84,Region Hovedstaden,Kirurgisk Center & Åreknudeklinikken,161,2,,,SKS,,3
sgh,1339,01-03-2012,26-02-2020,05-03-2020,84,Region Hovedstaden,"Aareknudeklinikken, København",161,2,,,SKS,,3
sgh,1340,01-01-2002,17-01-2008,31-01-2008,82,Region Midtjylland,Dansk Synskirurgi,161,2,,,SKS,,3
sgh,1340,01-02-2008,20-10-2008,01-01-2500,82,Region Midtjylland,Memira ApS,161,2,,,SKS,,3
sgh,1341,01-01-2002,21-02-2020,29-02-2020,84,Region Hovedstaden,City Eye Clinic,161,2,,,SKS,,3
sgh,1342,01-01-2002,11-10-2013,31-10-2013,84,Region Hovedstaden,Parkens Privathospital,161,2,,,SKS,,3
sgh,1342,01-11-2013,06-09-2016,14-09-2016,84,Region Hovedstaden,Teres Hospitalet Parken,161,2,,,SKS,,3
sgh,1343,01-01-2002,23-10-2014,31-10-2014,84,Region Hovedstaden,"ScanSleep A/S, Søvnmedicinsk Klinik, Københvn",161,2,,,SKS,,3
sgh,1344,01-01-2002,20-02-2015,28-02-2015,8,Nationalt,Urologisk Speciallæge Klinik,161,2,,,SKS,,3
sgh,1345,01-01-2002,21-02-2020,29-02-2020,84,Region Hovedstaden,Christianshavns Kirurgiske Klinik,161,2,,,SKS,,3
sgh,1346,01-01-2003,27-11-2016,05-12-2016,84,Region Hovedstaden,Øjenlæge Kim Julian,161,2,,,SKS,,3
sgh,1347,01-01-2004,23-12-2011,31-12-2011,84,Region Hovedstaden,Copenhagen Gastroclinic,161,2,,,SKS,,3
sgh,1348,01-01-2004,06-04-2017,24-04-2017,84,Region Hovedstaden,Øjenlægernes Hus ApS,161,2,,,SKS,,3
sgh,1348,25-04-2017,06-04-2017,01-01-2500,84,Region Hovedstaden,Øjenlægernes Hus Privathospital,161,2,,,SKS,,1
sgh,1349,01-01-2004,21-02-2020,29-02-2020,82,Region Midtjylland,Ørelægerne på Banegårdspladsen,161,2,,,SKS,,3
sgh,1350,01-01-2004,17-11-2005,31-12-2004,84,Region Hovedstaden,"Klinik for Medicinsk Genetik, Københavns Universitet",160,2,,,SKS,,1
sgh,1350,01-01-2005,18-07-2019,31-07-2019,84,Region Hovedstaden,"Klinik for Medicinsk Genetik, Københavns Universitet",161,3,,,SKS,,3
sgh,1351,01-01-1998,16-09-2005,01-01-2500,84,Region Hovedstaden,Amager Hospital,103,1,,,SKS,,3
sgh,1352,01-01-2005,18-08-2005,31-08-2005,84,Region Hovedstaden,Røntgen & Ultralyd,161,2,,,SKS,,3
sgh,1353,01-09-2005,25-01-2012,01-01-2500,84,Region Hovedstaden,Copenhagen Fertility Center,161,2,,,SKS,,3
sgh,1354,01-10-2005,17-11-2005,01-01-2500,84,Region Hovedstaden,Dansk Fertilitetsklinik v. Hans Krog,161,2,,,SKS,,1
sgh,1355,01-01-2007,28-02-2023,08-03-2023,84,Region Hovedstaden,N'age København,161,2,,,SKS,,3
sgh,1356,01-11-2010,21-02-2020,29-02-2020,84,Region Hovedstaden,Privatøjenlægen,161,2,,,SKS,,3
sgh,1357,01-10-2010,16-03-2016,31-03-2016,84,Region Hovedstaden,Speciallægeklinik v.Dennis Raahave,161,2,,,SKS,,3
sgh,1358,01-01-2011,21-02-2020,29-02-2020,84,Region Hovedstaden,Amagerbro Øjenklinik,161,2,,,SKS,,3
sgh,1359,01-05-2011,24-05-2019,01-06-2019,84,Region Hovedstaden,Lægeklinik Belén Redal,161,2,,,SKS,,3
sgh,1360,01-01-2000,17-10-2005,01-01-2500,84,Region Hovedstaden,"Retsmedicinsk Institut, København",139,3,,,SKS,,3
sgh,1361,01-01-2000,11-12-2017,31-12-2017,84,Region Hovedstaden,"Tandlægehøjskolen, København",139,3,,,SKS,,3
sgh,1361,01-01-2018,11-12-2017,01-01-2500,84,Region Hovedstaden,Odontologisk Institut - Tandlægehøjskolen,139,3,,,SKS,,1
sgh,1362,01-01-2004,19-12-2003,01-01-2500,84,Region Hovedstaden,Røntgen-Ultralydsklinikken,161,2,,,SKS,,1
sgh,1363,01-01-2004,21-02-2020,29-02-2020,84,Region Hovedstaden,Osteoporoseklinikken Christianshavn,161,2,,,SKS,,3
sgh,1364,01-01-2005,31-01-2005,01-01-2500,84,Region Hovedstaden,Røntgen & Ultralyd v/spec.lægerne T. Lorentsen og C. Nolsøe,161,2,,,SKS,,1
sgh,1365,01-11-2004,08-02-2024,16-02-2024,84,Region Hovedstaden,Angelica Lauritzen's Speciallægeklinik,161,2,,,SKS,,3
sgh,1366,01-01-2005,18-07-2019,31-07-2019,84,Region Hovedstaden,Øjenpatologisk Institut,139,3,,,SKS,,3
sgh,1367,01-01-2005,17-03-2005,01-01-2500,84,Region Hovedstaden,OASIS Behandling og Rådgivning for flygtninge,161,2,,,SKS,,1
sgh,1368,01-09-2005,16-09-2005,01-01-2500,84,Region Hovedstaden,Fertilitetsklinikken Trianglen,161,2,,,SKS,,1
sgh,1369,01-10-2005,20-01-2010,28-01-2010,84,Region Hovedstaden,Kirurgisk speciallægeklinik,161,2,,,SKS,,3
sgh,1370,01-01-2006,19-12-2012,31-12-2012,84,Region Hovedstaden,Rehabiliterings- og Forskningscentret for Torturofre,161,2,,,SKS,,3
sgh,1370,01-01-2013,19-12-2012,01-01-2500,84,Region Hovedstaden,Dignity - Dansk Institut Mod Tortur,161,2,,,SKS,,1
sgh,1371,01-04-2006,05-02-2024,13-02-2024,84,Region Hovedstaden,Den private Smerteklinik(Tværfagligt SmerteTeam,161,2,,,SKS,,3
sgh,1372,01-10-2006,18-03-2011,26-03-2011,84,Region Hovedstaden,Cosmeticon ApS,161,2,,,SKS,,3
sgh,1373,01-01-2006,17-11-2006,01-01-2500,84,Region Hovedstaden,Storkklinik,161,2,,,SKS,,1
sgh,1374,01-10-2006,21-02-2020,29-02-2020,84,Region Hovedstaden,"Snorkeklinikken og Øre-,Næse-og Halsklinikken",161,2,,,SKS,,3
sgh,1375,01-01-2006,18-12-2006,01-01-2500,85,Region Sjælland,Vitanova,161,2,,,SKS,,1
